-145.884986 -129.602270 4.913368e-03 1
-152.743521 -165.421208 4.861248e-03 0
-162.824970 -174.403008 4.863003e-03 0
-161.387488 -163.306163 4.861386e-03 0
-141.090515 -162.246605 4.860799e-03 0
-100.639278 -159.775713 4.865844e-03 8
-90.852962 -169.356603 4.862522e-03 8
-123.559804 -153.987048 4.858548e-03 8
-114.049922 -152.728019 4.859682e-03 8
-91.364092 -170.532227 4.862341e-03 8
-150.605448 -138.823098 4.852608e-03 0
-126.624467 -156.146283 4.860630e-03 8
-173.530628 -158.890612 4.863848e-03 0
-148.238518 -167.700789 4.857833e-03 0
-96.582934 -166.510596 4.865123e-03 8
-113.458531 -163.887229 4.855985e-03 8
-113.033614 -176.915225 4.859292e-03 8
-105.903848 -142.322497 4.869805e-03 8
-100.420084 -164.159666 4.865830e-03 8
-88.541300 -174.620282 4.861431e-03 16
-145.286905 -169.770385 4.855609e-03 0
-157.891502 -164.913152 4.861581e-03 0
-163.160325 -155.374797 4.854961e-03 0
-119.213593 -148.351409 4.857898e-03 8
-152.694960 -170.773355 4.862007e-03 0
-94.294042 -161.458948 4.864413e-03 8
-118.693735 -169.911194 4.859179e-03 8
-106.808636 -161.565825 4.860858e-03 8
-90.135246 -168.758118 4.862759e-03 8
-101.661301 -170.145435 4.863154e-03 8
-106.254989 -171.349760 4.862075e-03 8
-142.555514 -170.816489 4.860505e-03 0
-151.279116 -152.509721 4.860677e-03 0
-127.489347 -161.856347 4.860943e-03 8
-162.386683 -169.418537 4.861437e-03 0
-144.396276 -148.491488 4.861366e-03 0
-134.071557 -127.850077 4.852782e-03 9
-165.254941 -156.716571 4.858438e-03 0
-147.143274 -157.848542 4.860581e-03 0
-135.132121 -174.951572 4.864372e-03 0
-142.557077 -146.467931 4.860867e-03 0
-139.285232 -99.274716 4.841320e-03 1
-168.575772 -164.312026 4.862346e-03 0
-163.493718 -128.837536 4.854654e-03 1
-159.297357 -161.028868 4.861688e-03 0
-159.182935 -157.069182 4.856921e-03 0
-115.992827 -162.403076 4.856474e-03 8
-149.340783 -171.088801 4.857659e-03 0
-163.457889 -157.839438 4.857275e-03 0
-138.206151 -174.583968 4.864005e-03 0
-161.615807 -170.947432 4.862830e-03 0
-123.019185 -159.538553 4.860883e-03 8
-151.694173 -173.157568 4.858324e-03 0
-170.865129 -158.276930 4.863601e-03 0
-153.238221 -168.914005 4.861557e-03 0
-156.904810 -136.193698 4.854161e-03 0
-122.646388 -153.468308 4.858711e-03 8
-142.526256 -160.322723 4.861394e-03 0
-158.576375 -135.221803 4.854782e-03 0
-140.448959 -168.019349 4.862126e-03 0
-138.719766 -170.419990 4.863728e-03 0
-105.913657 -172.282209 4.861791e-03 8
-147.966398 -119.349061 4.858817e-03 1
-175.542720 -162.800281 4.862874e-03 0
-148.894954 -150.985752 4.861372e-03 0
-137.121608 -172.772953 4.863861e-03 0
-116.050050 -175.922666 4.859107e-03 8
-136.433092 -155.551324 4.861435e-03 0
-137.243923 -106.151563 4.829336e-03 1
-140.271765 -160.386252 4.860865e-03 0
-161.200003 -141.500718 4.860604e-03 0
-153.084927 -170.330717 4.862293e-03 0
-165.020581 -158.716913 4.859348e-03 0
-168.572660 -120.370482 4.840588e-03 1
-161.593968 -161.470992 4.861451e-03 0
-125.651318 -163.776283 4.860918e-03 8
-101.232147 -158.759799 4.866289e-03 8
-144.236810 -151.236602 4.861555e-03 0
-150.151309 -112.871538 4.860326e-03 1
-144.386161 -166.349070 4.859774e-03 0
-154.323753 -174.444308 4.862198e-03 0
-139.470047 -168.136952 4.862120e-03 0
-142.646302 -167.442565 4.859799e-03 0
-170.351962 -96.751749 5.151739e-03 1
-168.392359 -174.147535 4.862269e-03 0
-159.014337 -156.958646 4.856881e-03 0
-131.465176 -159.171447 4.862035e-03 8
-127.569491 -169.716200 4.864174e-03 8
-168.960665 -123.141820 4.847211e-03 1
-169.293912 -174.046796 4.862222e-03 0
-159.403796 -124.841295 4.914733e-03 1
-160.149038 -168.970319 4.863437e-03 0
-142.851038 -69.836163 4.548901e-03 2
-168.381522 -148.679468 4.860158e-03 0
-153.736544 -160.104793 4.860510e-03 0
-142.787609 -142.236715 4.861074e-03 0
-133.942045 -174.247639 4.865843e-03 8
-143.607881 -144.919842 4.859706e-03 0
-122.873821 -173.632367 4.861640e-03 8
-148.636931 -135.588055 4.856295e-03 0
-148.406852 -163.819402 4.860302e-03 0
-119.886096 -155.379962 4.859291e-03 8
-147.104983 -133.475276 4.855869e-03 1
-131.472845 -164.909454 4.861551e-03 8
-159.011813 -169.815520 4.862003e-03 0
-134.168001 -124.567300 4.849774e-03 9
-122.054330 -153.727425 4.858221e-03 8
-138.555480 -154.706174 4.860463e-03 0
-132.944773 -154.894878 4.860927e-03 8
-144.324929 -139.324740 4.858405e-03 0
-138.227229 -164.785365 4.860209e-03 0
-138.192627 -166.938421 4.860716e-03 0
-163.307523 -161.948520 4.861828e-03 0
-155.704512 -167.838754 4.864131e-03 0
-155.942903 -158.986477 4.860332e-03 0
-82.037503 -172.532553 4.866866e-03 16
-101.665965 -139.594333 4.870590e-03 8
-99.944284 -152.709015 4.870123e-03 8
-111.120739 -148.992644 4.862394e-03 8
-72.190955 -115.455118 4.812007e-03 17
